,Unnamed: 0,claw_length_cm,endangered,size_cm,specie,sub_specie,tail_length_cm,weight_kg
0,0,6.825,critically_endangered,52.004,three_toed,Pygmy three-toed sloth,4.448,3.57
1,1,8.26,critically_endangered,50.082,three_toed,Pygmy three-toed sloth,6.286,2.844
2,2,8.662,critically_endangered,51.498,three_toed,Pygmy three-toed sloth,4.551,1.259
3,3,8.467,critically_endangered,50.122,three_toed,Pygmy three-toed sloth,6.983,2.392
4,4,7.104,critically_endangered,51.364,three_toed,Pygmy three-toed sloth,5.411,3.163
5,5,7.268,critically_endangered,50.54,three_toed,Pygmy three-toed sloth,3.672,3.305
6,6,7.195,critically_endangered,49.662,three_toed,Pygmy three-toed sloth,4.179,2.854
7,7,7.455,critically_endangered,50.99,three_toed,Pygmy three-toed sloth,3.418,3.861
8,8,6.773,critically_endangered,48.389,three_toed,Pygmy three-toed sloth,6.601,4.492
9,9,8.16,critically_endangered,49.495,three_toed,Pygmy three-toed sloth,4.058,0.964
10,10,7.43,critically_endangered,49.652,three_toed,Pygmy three-toed sloth,4.446,2.551
11,11,7.31,critically_endangered,50.094,three_toed,Pygmy three-toed sloth,6.853,5.494
12,12,8.885,critically_endangered,49.511,three_toed,Pygmy three-toed sloth,6.179,3.066
13,13,7.041,critically_endangered,50.774,three_toed,Pygmy three-toed sloth,6.346,2.897
14,14,8.341,critically_endangered,49.116,three_toed,Pygmy three-toed sloth,5.527,2.444
15,15,8.372,critically_endangered,51.097,three_toed,Pygmy three-toed sloth,4.803,2.837
16,16,7.825,critically_endangered,51.339,three_toed,Pygmy three-toed sloth,4.516,3.732
17,17,6.261,critically_endangered,50.176,three_toed,Pygmy three-toed sloth,5.499,1.759
18,18,5.262,critically_endangered,49.417,three_toed,Pygmy three-toed sloth,5.13,1.417
19,19,8.271,critically_endangered,51.06,three_toed,Pygmy three-toed sloth,6.174,2.575
20,20,7.291,critically_endangered,50.201,three_toed,Pygmy three-toed sloth,6.148,3.39
