,Unnamed: 0,claw_length_cm,endangered,size_cm,specie,sub_specie,tail_length_cm,weight_kg
2662,2662,8.437,least_concern,63.317,two_toed,Linnaeus’s two-toed sloth,1.688,7.632
2663,2663,9.203,least_concern,67.519,two_toed,Linnaeus’s two-toed sloth,-1.006,6.349
2664,2664,9.574,least_concern,65.167,two_toed,Linnaeus’s two-toed sloth,-0.03,6.125
2665,2665,9.541,least_concern,67.293,two_toed,Linnaeus’s two-toed sloth,1.319,6.089
2666,2666,9.14,least_concern,65.032,two_toed,Linnaeus’s two-toed sloth,0.237,6.34
2667,2667,7.748,least_concern,64.756,two_toed,Linnaeus’s two-toed sloth,-1.163,6.004
2668,2668,10.104,least_concern,66.346,two_toed,Linnaeus’s two-toed sloth,0.427,5.399
2669,2669,7.47,least_concern,63.149,two_toed,Linnaeus’s two-toed sloth,-0.453,5.917
2670,2670,8.756,least_concern,66.17,two_toed,Linnaeus’s two-toed sloth,1.126,7.426
2671,2671,7.024,least_concern,65.752,two_toed,Linnaeus’s two-toed sloth,0.135,5.131
2672,2672,7.645,least_concern,66.346,two_toed,Linnaeus’s two-toed sloth,-1.339,5.594
2673,2673,8.361,least_concern,65.435,two_toed,Linnaeus’s two-toed sloth,-0.1,6.282
2674,2674,8.193,least_concern,66.049,two_toed,Linnaeus’s two-toed sloth,0.54,6.466
2675,2675,10.096,least_concern,67.758,two_toed,Linnaeus’s two-toed sloth,0.261,7.872
2676,2676,10.043,least_concern,64.936,two_toed,Linnaeus’s two-toed sloth,0.881,7.505
2677,2677,8.609,least_concern,65.143,two_toed,Linnaeus’s two-toed sloth,1.538,5.676
2678,2678,8.595,least_concern,66.694,two_toed,Linnaeus’s two-toed sloth,0.183,7.07
2679,2679,6.937,least_concern,65.334,two_toed,Linnaeus’s two-toed sloth,0.096,6.671
2680,2680,9.489,least_concern,66.819,two_toed,Linnaeus’s two-toed sloth,0.231,6.536
2681,2681,8.996,least_concern,67.573,two_toed,Linnaeus’s two-toed sloth,1.384,5.815
2682,2682,8.282,least_concern,65.293,two_toed,Linnaeus’s two-toed sloth,-0.044,6.213
2683,2683,8.802,least_concern,65.675,two_toed,Linnaeus’s two-toed sloth,0.347,7.265
2684,2684,9.152,least_concern,65.473,two_toed,Linnaeus’s two-toed sloth,0.233,8.044
2685,2685,8.04,least_concern,66.339,two_toed,Linnaeus’s two-toed sloth,-1.081,7.482
2686,2686,8.201,least_concern,64.569,two_toed,Linnaeus’s two-toed sloth,-1.56,6.293
2687,2687,10.669,least_concern,65.799,two_toed,Linnaeus’s two-toed sloth,-1.326,6.918
2688,2688,10.909,least_concern,66.943,two_toed,Linnaeus’s two-toed sloth,-2.9,5.707
2689,2689,6.422,least_concern,66.1,two_toed,Linnaeus’s two-toed sloth,-0.22,6.272
2690,2690,8.745,least_concern,67.609,two_toed,Linnaeus’s two-toed sloth,1.131,5.826
2691,2691,11.055,least_concern,63.687,two_toed,Linnaeus’s two-toed sloth,0.829,7.493
2692,2692,9.743,least_concern,65.19,two_toed,Linnaeus’s two-toed sloth,0.262,5.958
2693,2693,10.293,least_concern,65.338,two_toed,Linnaeus’s two-toed sloth,1.82,5.16
2694,2694,9.84,least_concern,65.328,two_toed,Linnaeus’s two-toed sloth,0.572,5.253
2695,2695,9.254,least_concern,66.97,two_toed,Linnaeus’s two-toed sloth,0.683,7.542
2696,2696,10.778,least_concern,65.342,two_toed,Linnaeus’s two-toed sloth,0.828,4.535
2697,2697,8.459,least_concern,65.1,two_toed,Linnaeus’s two-toed sloth,-0.103,3.89
2698,2698,8.887,least_concern,65.148,two_toed,Linnaeus’s two-toed sloth,0.028,7.314
2699,2699,7.608,least_concern,64.255,two_toed,Linnaeus’s two-toed sloth,-0.371,6.29
